negative;Oh, where have you been My blue-eyed son? And where have you been My darling young one?  I've stumbled on the side of twelve misty mountains I've walked and I crawled on six crooked highways I've stepped in the middle of seven sad forests I've been out in front of a dozen dead oceans I've been ten thousand miles in the mouth of a graveyard  And it's a hard, it's a hard It's a hard, it's a hard It's a hard rain's a-gonna fall  Oh, what did you see My blue-eyed son? And what did you see My darling young one?  I saw a newborn baby with wild wolves all around it I saw a highway of diamonds with nobody on it I saw a black branch with blood that kept drippin' I saw a room full of men with their hammers a-bleedin' I saw a white ladder all covered with water I saw ten thousand talkers whose tongues were all broken I saw guns and sharp swords in the hands of young children  And it's a hard, it's a hard It's a hard, and it's a hard It's a hard rain's a-gonna fall  And what did you hear My blue-eyed son? And what did you hear My darling young one?  I heard the sound of the thunder that roared out a warning I heard the roar of a wave that could drown the whole world I heard one hundred drummers whose hands were a-blazin' I heard ten thousand whisperin' and nobody listenin' I heard one person starve, I heard many people laughin' I heard the song of a poet who died in the gutter I heard the sound of a clown who cried in the alley  And it's a hard, it's a hard It's a hard, it's a hard It's a hard rain's a-gonna fall  Oh, what did you meet My blue-eyed son? And who did you meet My darling young one?  I met a young child beside a dead pony I met a white man who walked a black dog I met a young woman, her body was burning I met a young girl, she gave me a rainbow I met one man who was wounded in love I met another man who was wounded in hatred  And it's a hard, it's a hard It's a hard, it's a hard It's a hard rain's a-gonna fall  And what'll you do now My blue-eyed son? And what'll you do now My darling young one?  I'm a-goin' back out 'fore the rain starts a-fallin' I'll walk to the depths of the deepest dark forest Where the people are many and their hands are all empty Where the pellets of poison are flooding their waters Where their home in the valley meets the damp dirty prison And the executioner's face is always well-hidden  Where hunger is ugly, where the souls are forgotten Where black is the color, where none is the number And I'll tell it and speak it and think it and breathe it And reflect from the mountains so all souls can see it And I'll stand on the ocean until I start sinkin' But I'll know my song well before I start singing  And it's a hard, it's a hard It's a hard, and it's a hard It's a hard rain's a-gonna fall;Bob Dylan;A Hard Rain's A-Gonna Fall
negative;I got something to say That might cause you pain If I catch you talking To that boy again I'm gonna let you down And leave you flat Because I told you before Oh, you can't do that  Well, it's the second time I've caught you talking to him Do I have to tell you one more time I think it's a sin? I think I'll let you down (Let you down) And leave you flat (Gonna let you down and leave you flat) Because I told you before Oh, you can't do that  Everybody's green 'Cos I'm the one who won your love But if they'd seen You talking that way They'd laugh in my face  So, please listen to me If you want to stay mine I can't help my feelings I'd go out of my mind I'm gonna let you down (Let you down) And leave you flat (Gonna let you down and leave you flat) Because I told you before Oh, you can't do that  You can't do that  Everybody's green 'Cos I'm the one who won your love But if they'd seen You talking that way They'd laugh in my face  So, please listen to me If you want to stay mine I can't help my feelings I'd go out of my mind I'll go and let you down (Let you down) And leave you flat (Gonna let you down and leave you flat) Because I told you before Oh, you can't do that;The Beatles;You Can't Do That
negative;Right about now, N.W.A court is in full effect, Judge Dre presiding. In the case of N.W.A versus the police department, the prosecuting attorneys are: MC Ren, Ice Cube, and Eazy Mothafuckin' E. Order, order, order! Ice Cube, take the mothafuckin' stand. Do you swear to tell the truth, the whole truth and nothin' but the truth, so help your black ass? You're goddamn right!  Won't you tell everybody what the fuck you gotta say.  Ice Cube Fuck the police comin' straight from the underground A young nigga got it bad 'cause I'm brown And not the other color some police think They have the authority to kill a minority  Fuck that shit 'cause I ain't the one For a punk motherfucka with a badge and a gun To be beaten on and throwin in jail We can go toe to toe in the middle of a cell  Fuckin' with me 'cause I'm a teenager With a little bit of gold and a pager Searchin' my car, lookin' for the product Thinkin' every nigger is sellin' narcotics  You'd rather see me in the pen Than me and Lorenzo rollin' in a Benz-o Beat up police out of shape And when I'm finished, bring me yellow tape  To tape off the scene of the slaughter Still gettin' swoll' off bread and water I don't know, if they fags or what Search a nigger down, and grabbin' his nuts  And on the other hand, without a gun they can't get none But don't let it be a black and a white one 'Cause they'll slam ya down to the street top Black police showin' out for the white cop  Ice Cube will swarm On any motherfucker in a blue uniform Just 'cause I'm from the CPT} Punk police are afraid of me, huh  A young nigger on the warpath And when I finish, it's gonna be a bloodbath Of cops, dyin' in L.A. Yo Dre, I got something to say  Fuck tha Police Fuck tha Police Fuck tha Police Fuck tha Police  Scene I Pull your goddamn ass over right now. Aw, shit, and what the fuck you pullin' me over for?  'Cause I feel like it, just sit your ass on the curb and shut the fuck up! Man, fuck this shit. Alright smart-ass, I'm takin' your black ass to jail.  MC Ren, will you please give your testimony to the jury about this fucked up incident?  MC Ren Fuck the police and Ren said it with authority Because the niggers on the street is a majority A gang, that's wit whoever I'm steppin' And a motherfuckin' weapon is kept in  A stash box for the so called law Wishin' Ren was a nigger that they never saw Lights all flashin' behind me But they're scared of a nigger so they mace to blind me  But that shit don't work, I just laugh Because it gives 'em a hint, not to step in my path To police, I'm sayin', "Fuck you punk!" Readin' my rights and shit, it's all junk  Pullin' out a silly club, so you stand With a fake-ass badge and a gun in your hand But take off the gun so you can see what's up And we'll go at it, punk, and I'ma fuck you up  Make you think I'ma kick your ass But drop your gat and Ren's gonna blast I'm sneaky as fuck when it comes to crime But I'ma smoke 'em now and not next time  Smoke any motherfucker that sweats me And any asshole that threatens me I'm a sniper with a hell of a scope Takin' out a cop or two they can't cope with me  The motherfuckin' villain that's mad With potential to get bad as fuck So I'ma turn it around Put in my clip, yo and this is the sound   (AK47 Gunshots) Yeah, somethin' like that But it all depends on the size of the gat Takin' out a police would make my day But a nigger like Ren don't give a fuck to say  Fuck tha Police Fuck tha Police Fuck tha Police Fuck tha Police  Scene II Yo man, whatcha need? Police, open now (oh shit), we have a warrant for Eazy-E's arrest. Oh shit. Get down and put your hands up where I can see 'em! Man, what did I do? Just shut the fuck up and get yo' motherfuckin' ass on the floor. But I didn't do shit. Man, just shut the fuck up.  Eazy E, won't you step up to the stand and tell the jury how you feel about this bullshit?  Eazy-E I'm tired of the motherfuckin' jackets Sweatin' my gang while I'm chillin' in the shack an' Shinin' the light in my face and for what Maybe it's because I kick so much butt  I kick ass, or maybe it's 'cause I blast On a stupid-ass nigga when I'm playing with the trigger Of an Uzi or an AK 'Cause the police always got somethin' stupid to say  They put up my picture with silence 'Cause my identity by itself causes violence The E with the criminal behavior Yeah, I'm a gangster, but still I got flavor  Without a gun and a badge, what do you got A sucker in uniform waitin' to get shot By me, or another nigger And with a gun it don't matter if he's smaller or bigger  MC Ren (Background) Size don't mean shit, he's from the old school, fool Easy E And as you all know, E's here to rule Whenever I'm rollin', keep lookin' in the mirror And ears on cue, yo, so I can hear a  Dumb motherfucker with a gun And if I'm rollin' off the eight, he'll be the one That I take out, and then get away While I'm driving off laughin', this is what I'll say  Fuck tha Police Fuck tha Police Fuck tha Police Fuck tha Police  The Verdict The jury has found you guilty of being a red-neck, white-bread, chicken-shit motherfucker. That's a lie! that's a goddamn lie! Get him out of here! I want justice! Get him the fuck out of my face. I want justice! Out right now! Fuck you, you black motherfuckerrrrrrrrrrr!  Fuck tha Police Fuck tha Police Fuck tha Police;N.W.A;Fuck tha Police
negative;I don't care about the state of my hair I got something out of nothing That just wasn't there And your kiss kiss kiss Is never gonna blow me away  Dreams of escape keep me awake I'm never gonna get out and make it away I'm a stone dead tripper Dying in a fantasy  Like a cracked open sky it helps you to die Don't split it scrape it You're screaming automatic pain  Too young kid you're gonna get hit Looks like your never gonna make it Off the government list  I don't mind about the state of my mind But you know it's good for nothing And I left you behind It's a sick sick city But it's never gonna make me insane  If you're talking for real Then go cut a deal You're facing up to living out The way that you feel And you shake shake shake 'Cause you know you'll never make it away  Well I guess that's why I've always Got the blues;The Jesus and Mary Chain;Blues from a Gun
negative;When I call you up Your line's engaged I have had enough So act your age We have lost the time That was so hard to find And I will lose my mind If you won't see me (You won't see me) You won't see me (You won't see me)  I don't know why you (Ooh-ooh) (La la-la) Should want to hide (Ooh-ooh) (La la-la) But I can't get through (Ooh-ooh) (La la-la) My hands are tied (Ooh-ooh) (La la-la) I won't want to stay (Ooh-ooh) (La la-la) I don't have much to say (Ooh-ooh) (La la-la) But I'd get turned away (Ooh-ooh) (La la-la) And you won't see me (You won't see me) You won't see me (You won't see me)  Time after time You refuse to even listen I wouldn't mind If I knew what I was missing (No, I wouldn't, no, I wouldn't)  Though the days are few (Ooh-ooh) (La la-la) They're filled with tears (Ooh-ooh) (La la-la) And since I lost you (Ooh-ooh) (La la-la) It feels like years (Ooh-ooh) (La la-la) Yes, it seems so long (Ooh-ooh) (La la-la) Girl, since you've been gone (Ooh-ooh) (La la-la) And I just can' go on (Ooh-ooh) (La la-la) If you won't see me (You won't see me) You won't see me (You won't see me)  Time after time You refuse to even listen I wouldn't mind If I knew what I was missing (No, I wouldn't, no, I wouldn't)  Though the days are few (Ooh-ooh) (La la-la) They're filled with tears (Ooh-ooh) (La la-la) And since I lost you (Ooh-ooh) (La la-la) It feels like years (Ooh-ooh) (La la-la) Yes, it seems so long (Ooh-ooh) (La la-la) Girl, since you've been gone (Ooh-ooh) (La la-la) And I just can' go on (Ooh-ooh) (La la-la) If you won't see me (You won't see me) You won't see me (You won't see me)  Hey! Ah-ah! Yeah, yeah! Woah, woah. (Ooh-ooh la la-la) (Ooh-ooh la la-la) (Ooh-ooh la la-la);The Beatles;You Won't See Me
negative;I've got every reason on earth to be mad 'Cause I just lost the only girl I had If I could get my way I'd get myself locked up today But I can't, so I'll cry instead  I've got a chip on my shoulder that's bigger than my feet I can't talk to people that I meet If I could see you now I'd try to make you sad somehow But I can't, so I'll cry instead  Don't want to cry when there's people there I get shy when they start to stare I'm gonna hide myself away But I'll come back again someday  And when I do, you'd better hide all the girls I'm gonna break their hearts all 'round the world Yes, I'm gonna break 'em in two And show you what your loving man can do Until then, I'll cry instead  Don't want to cry when there's people there I get shy when they start to stare I'm gonna hide myself away But I'll come back again someday  And when I do, you'd better hide all the girls 'Cause I'm gonna break their hearts all 'round the world Yes, I'm gonna break 'em in two And show you what your loving man can do Until then, I'll cry instead;The Beatles;I'll Cry Instead
aggressive;Livin' after midnight Rockin' to the dawn Lovin' till the morning Then I'm gone, I'm gone  I took the city 'bout one am Loaded, loaded I'm all geared up to score again Loaded, loaded I come alive in a neon light That's when I make my moves right  Livin' after midnight Rockin' to the dawn Lovin' till the morning Then I'm gone, I'm gone  Got gleaming chrome reflectin' steel Loaded, loaded Ready to take on every deal Loaded, loaded My pulse is racin', I'm hot to take This motor's revved up fit to break  Livin' after midnight Rockin' to the dawn Lovin' till the morning Then I'm gone, I'm gone  I'm aiming for you I'm gonna floor you My body's coming All night long  The air's electric, sparking power Loaded, loaded I'm getting harder by the hour Loaded, loaded I set my sights and then home in The joint starts flying when I begin  Livin' after midnight Rockin' to the dawn Lovin' till the morning Then I'm gone, I'm gone  Livin' after midnight Rockin' to the dawn Lovin' till the morning Then I'm gone, I'm gone;Judas Priest;Living After Midnight
negative;You come out at night That's when the energy comes And the dark side's light And the vampires roam You strut your rasta wear And your suicide poem And a cross from a faith that died Before Jesus came You're building a mystery  You live in a church Where you sleep with voodoo dolls And you won't give up the search For the ghosts in the halls You wear sandals in the snow And a smile that won't wash away Can you look out the window Without your shadow getting in the way?  You're so beautiful With an edge and charm And so careful When I'm in your arms  Cause you're working Building a mystery Holding on and holding it in Yeah you're working Building a mystery And choosing so carefully  You woke up screaming aloud A prayer from your secret god But you feed off our fears And hold back your tears, oh You give us a tantrum And a know it all grin Just when we need one When the evening's thin  You're so beautiful A beautiful fucked-up man You're setting up your Razor-wire shrine  Cause you're working Building a mystery Holding on and holding it in Yeah you're working Building a mystery And choosing so carefully  Ooh you're working Building a mystery Holding on and holding it in Yeah you're working Building a mystery And choosing so carefully  Yeah you're working Building a mystery Holding on and holding it in Yeah you're working Building a mystery And choosing so carefully  You're building a mystery;Sarah McLachlan;Building a Mystery
negative;Why put this sadness inside of me  Why be so matter-of-fact  Why put this one bit of hope in me  You sold me out and that's that   I hope that you're having fun with me  There's not much left to attack  I hope that you're nearly done with me  You sold me out and that's that   All sold out i'd never seen  A mind so tangled, a girl so strangled  All sold out well i felt so green  It was just like that  I was put down flat  I was sold out just like that  Oh baby   All sold out i'd never seen  A mind so tangled, a girl so strangled  All sold out well i felt so green  It was just like that  I was put down flat  I was sold out just like that   I missed the point of you doing it  Your mind has just jumped the track  I took a bit different view of it  You sold me out and that's that   Hey hey, that's that;The Rolling Stones;All Sold Out
negative;Lord, I gotta raise a fuss , Lord, I gotta raise a holler About workin' all summer Just to try the earn a dollar Well, Lord, I tried to call my baby Try to get a date...  Sometimes, I wonder what I'm gonna do But there ain't no cure, For the summertimes blues  Well my mom and papa told me son you gotta make some money Well if you wanna use the car to go a ridin' next sunday Oh, Lord,  I didn't go to work I told the boss I was sick  Sometimes, I wonder what I'm gonna do But there ain't no cure, For the summertimes blues  I gotta take three weeks I gotta have a fine vacation I gotta take my problems to the United Nations I done told my congress man and he said "vote" (dig this boy)  Sometimes, I wonder what I'm gonna do But there ain't no cure, For the summertimes blues  I gotta take three weeks I gotta have a fine vacation I gotta take my problems to the United Nations I done told my congress man and he said "vote" (dig this boy)  Sometimes, I wonder what I'm gonna do But there ain't no cure, For the summertimes blues. Woah, there ain't no cure.;Blue Cheer;Summertime Blues
negative;Well, I told you once and I told you twice But you never listen to my advice You don't try very hard to please me With what you know it should be easy  Well, this could be the last time This could be the last time Maybe the last time I don't know, oh no, oh no  Well, I'm sorry girl but I can't stay Feelin' like I do today There's too much pain and too much sorrow I guess I'll feel the same tomorrow  Well, this could be the last time This could be the last time Maybe the last time I don't know, oh no, oh no  Well, this could be the last time This could be the last time Maybe the last time I don't know, oh no, oh no  Well I told you once and I told you twice That someone will have to pay the price But here's a chance to change your mind 'Cause I'll be gone a long, long time  Well, this could be the last time This could be the last time Maybe the last time I don't know, oh no, oh no Well, this could be the last time;The Rolling Stones;The Last Time
negative;There I was completely wasting Out of work and down All inside it's so frustrating As I drift from town to town  Feel as though nobody cares If I live or die So I might as well begin To put some action in my life  Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law  So much for the golden future I can't even start I've had every promise broken There's anger in my heart  You don't know what it's like You don't have a clue If you did you'd find yourselves Doing the same thing too  Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law  You don't know what it's like  Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law  Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law Breaking the law, breaking the law;Judas Priest;Breaking the Law
